,Country Code,Country,HDI,Total Cases,Total Deaths,Stringency Index,Population
117,MDG,Madagascar,0.376010204,1443321,17744,2.957421467,17.13661869
76,GRC,Greece,0.87,1421470,44805,3.134685528,16.15953083
104,OWID_KOS,Kosovo,0,1345940,47571,3.176381665,14.47446683
47,HRV,Croatia,0.831,1314031,28757,3.14406189,15.22778158
52,COD,Democratic Republic of Congo,0.343527211,1271391,32040,3.074580109,18.31043503
82,GIN,Guinea,0.341908163,1195836,7283,3.000185773,16.39062287
115,LUX,Luxembourg,0.904,1146724,21907,2.905672399,13.34706731
208,ZMB,Zambia,0.43,1129913,26475,2.645104185,16.72698889
187,TJK,Tajikistan,0.380272109,1117391,9730,2.240074462,16.07075684
1,ALB,Albania,0.600765306,1071951,31056,3.005623655,14.87253667
70,GAB,Gabon,0.525306122,1031803,6877,3.122124113,14.61559461
85,HTI,Haiti,0.362489796,1023155,23891,2.775444938,16.24934608
193,TUN,Tunisia,0.565,1000626,19025,2.863019545,16.28518664
120,MDV,Maldives,0.546285714,844040,3054,0,13.20032762
123,MRT,Mauritania,0.387346939,799222,19810,2.660509433,15.35230466
171,SVK,Slovakia,0.663061224,798665,6055,2.896528082,15.51289396
54,DJI,Djibouti,0.348095238,781771,8006,2.91001928,13.80344
101,JOR,Jordan,0.5675,716514,5653,3.17901004,16.13820607
134,NAM,Namibia,0.48194898,681299,6634,2.996030526,14.7480352
129,MNE,Montenegro,0.598040816,675912,11356,0,13.35039417
189,THA,Thailand,0.755,655703,11162,3.060495104,18.06114425
133,MMR,Myanmar,0.416789116,644209,13973,3.143343875,17.81205473
209,ZWE,Zimbabwe,0.387602041,593699,15984,3.161131952,16.51438055
38,CAF,Central African Republic,0.272129252,593048,7108,2.96485051,15.39030816
48,CUB,Cuba,0.578785714,581546,16774,3.152609446,16.24266591
60,GNQ,Equatorial Guinea,0.440234694,557355,8947,0,14.15411267
172,SVN,Slovenia,0.694857143,547075,22165,3.001279025,14.54736486
118,MWI,Malawi,0.332602041,536447,15480,2.748317099,16.76676599
139,NIC,Nicaragua,0.481190476,524410,16410,1.778790332,15.70629361
132,MOZ,Mozambique,0.313629252,510578,3396,2.881996354,17.25770384
174,SOM,Somalia,0,491145,15001,2.558545669,16.5814031
114,LTU,Lithuania,0.858,488057,14345,2.790288763,14.81698436
44,COG,Congo,0.449346939,473368,9298,3.029772101,15.52354271
36,CPV,Cape Verde,0.473816327,463888,4749,2.988857298,13.22850199
196,UGA,Uganda,0.372081633,448728,3748,3.17718829,17.63850561
179,LKA,Sri Lanka,0.77,446643,2108,3.212534041,16.87952045
62,EST,Estonia,0.871,445402,11802,2.538026283,14.09808385
182,SWZ,Swaziland,0.438,444238,8179,3.061297157,13.96407193
72,GEO,Georgia,0.78,431689,4013,3.638939529,15.199095
89,ISL,Iceland,0.935,421210,1968,3.174260734,12.74037063
121,MLI,Mali,0.302095238,390637,18813,2.771103041,16.82370654
158,RWA,Rwanda,0.390326531,388775,1744,3.092046721,16.37677691
98,JAM,Jamaica,0.550244898,370890,5653,3.239694818,14.90109198
181,SUR,Suriname,0.524081633,358632,6961,3.167167094,13.28215639
177,SSD,South Sudan,0.259986395,333500,6063,2.718222758,16.23086427
83,GNB,Guinea-Bissau,0.320357143,306564,4199,0,14.49252734
4,AGO,Angola,0.418952381,304005,11820,2.965559714,17.3079574
